Timestamp,GFO_Computed_Density,GFO_Accelerometer_Density,GFO_JB08,GFO_DTM2000,GFO_NRLMSISE-00
2023-04-23 14:08:27,7.361361546694035e-13,1.0150094e-12,9.095265450396867e-13,1.2296342097908444e-12,1.0150424e-12
2023-04-23 14:08:42,7.348547485540364e-13,1.0181624e-12,9.130874482719046e-13,1.2404174165434166e-12,1.0213613e-12
2023-04-23 14:08:57,7.249491393016403e-13,1.0231071e-12,9.164650023717104e-13,1.2514955486630141e-12,1.0276204e-12
2023-04-23 14:09:12,7.276770393407631e-13,1.0256302e-12,9.196566213275857e-13,1.262840793267538e-12,1.0338332e-12
2023-04-23 14:09:27,7.437838726031667e-13,1.0278319e-12,9.22662345689e-13,1.274424189097211e-12,1.0400006e-12
2023-04-23 14:09:42,7.500537496220379e-13,1.028518e-12,9.25479864395438e-13,1.2862088124437e-12,1.0461202e-12
2023-04-23 14:09:57,7.531755134186147e-13,1.029565e-12,9.281095622457366e-13,1.2981569009901178e-12,1.0521922e-12
2023-04-23 14:10:12,7.546850400899515e-13,1.0304179e-12,9.305495078580957e-13,1.3102231056308402e-12,1.0582128e-12
2023-04-23 14:10:27,7.554351022385857e-13,1.0324191e-12,9.328005074526038e-13,1.3223618976421052e-12,1.0641303e-12
2023-04-23 14:10:42,7.636051062222907e-13,1.032889e-12,9.348610408967373e-13,1.3345208403014345e-12,1.0698703e-12
2023-04-23 14:10:57,7.725421378150959e-13,1.0362052e-12,9.367323515826733e-13,1.3466483067610857e-12,1.0755518e-12
2023-04-23 14:11:12,7.774521835906808e-13,1.0400999e-12,9.384133645898786e-13,1.358686785520631e-12,1.0811556e-12
2023-04-23 14:11:27,7.838088296254767e-13,1.0502721e-12,9.399057922390209e-13,1.3705808476394516e-12,1.086691e-12
2023-04-23 14:11:42,7.905647837531935e-13,1.0550032e-12,9.412090376721164e-13,1.3822704422298062e-12,1.0921337e-12
2023-04-23 14:11:57,7.971264225533587e-13,1.0635134e-12,9.423253019088921e-13,1.3936990388698653e-12,1.0974934e-12
2023-04-23 14:12:12,8.012562380735208e-13,1.0671549e-12,9.432544612400652e-13,1.404806835044029e-12,1.1027492e-12
2023-04-23 14:12:27,8.078848421742343e-13,1.0760959e-12,9.439991957001217e-13,1.4155390358945045e-12,1.1078995e-12
2023-04-23 14:12:42,8.14387222117128e-13,1.0806459e-12,9.445598721231009e-13,1.4258389573440202e-12,1.1129336e-12
2023-04-23 14:12:57,8.174728399840004e-13,1.0954206e-12,9.449396576998237e-13,1.4356563190129221e-12,1.1178301e-12
2023-04-23 14:13:12,8.223969991717412e-13,1.103465e-12,9.451393718952089e-13,1.4449401296124762e-12,1.1226106e-12
2023-04-23 14:13:27,8.225505767225267e-13,1.1198764e-12,9.451626237371609e-13,1.4536469835847593e-12,1.1272207e-12
2023-04-23 14:13:42,8.285519309543374e-13,1.1262376e-12,9.450106815609085e-13,1.4617337600602157e-12,1.1316869e-12
