UTC,x,y,z,xv,yv,zv,EDR Density,Drag Work,Delta Energy,g_con_integ,g_noncon_integ,delta_v
2024-05-08 22:02:10,922782.9392223889,-1591715.321761498,-6611446.948109868,4157.776745400266,-6044.976027111897,2026.9764905192628,1.68980600371111e-11,23.859177388250828,-23.859177388250828,-0.0,0.0,-23.859177388250828
2024-05-08 22:02:11,926940.1515191261,-1597759.3243120129,-6609415.917388835,4156.641837319179,-6043.019453903902,2035.1102012485314,1.6753704388143245e-11,23.655413769185543,-23.655413769185543,-0.0,0.0,-23.655413769185543
2024-05-08 22:02:12,931096.2268373977,-1603801.3674185066,-6607376.758003108,4155.501831169043,-6041.055468489206,2043.241411998311,1.6610064821290078e-11,23.452660776674747,-23.452660776674747,-0.0,0.0,-23.452660776674747
2024-05-08 22:02:13,935251.160062018,-1609841.4436396968,-6605329.472337706,4154.3567282583745,-6039.084073134574,2051.370112850845,1.646720141620645e-11,23.251003231853247,-23.251003231853247,-0.0,0.0,-23.251003231853247
2024-05-08 22:02:14,939404.9460778015,-1615879.5455343025,-6603274.062777646,4153.206529895692,-6037.10527010677,2059.4962938883796,1.6325174236026122e-11,23.050525933504105,-23.050525933504105,-0.0,0.0,-23.050525933504105
2024-05-08 22:02:15,943557.5797695627,-1621915.6656610412,-6601210.531707952,4152.051237389515,-6035.119061672559,2067.6199451931598,1.6184043319429788e-11,22.851313646882772,-22.851313646882772,-0.0,0.0,-22.851313646882772
2024-05-08 22:02:16,947709.0560221159,-1627949.796578632,-6599138.88151364,4150.890852048361,-6033.125450098706,2075.741056847429,1.604386869909708e-11,22.65345112979412,-22.65345112979412,-0.0,0.0,-22.65345112979412
2024-05-08 22:02:17,951859.3697202759,-1633981.9308457926,-6597059.114579733,4149.725375180748,-6031.124437651977,2083.8596189334344,1.5904710412243397e-11,22.4570231474936,-22.4570231474936,-0.0,0.0,-22.4570231474936
2024-05-08 22:02:18,956008.5157488567,-1640012.0610212423,-6594971.233291249,4148.554808095195,-6029.116026599135,2091.9756215334196,1.5766628463666392e-11,22.26211442053318,-22.26211442053318,-0.0,0.0,-22.26211442053318
2024-05-08 22:02:19,960156.4889926731,-1646040.1796636982,-6592875.240033209,4147.37915210022,-6027.100219206944,2100.0890547296294,1.5629682846836772e-11,22.068809654563665,-22.068809654563665,-0.0,0.0,-22.068809654563665
2024-05-08 22:02:20,964303.2843365395,-1652066.2793318795,-6590771.1371906325,4146.198408504341,-6025.077017742169,2108.19990860431,1.549393355179736e-11,21.877193551510572,-21.877193551510572,-0.0,0.0,-21.877193551510572
2024-05-08 22:02:21,968448.8966652703,-1658090.352584504,-6588658.92714854,4145.012578616078,-6023.046424471578,2116.3081732397054,1.5359440515018862e-11,21.68735073879361,-21.68735073879361,-0.0,0.0,-21.68735073879361
