UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 01:16:12,7.38344654776173e-13,5.341302592382325e-13,1.2238042175693933e-12,8.006504831139317e-13,6.6937731e-13,9.109532e-13,8.436233624917548e-13
2023-05-06 01:16:27,7.392062385865304e-13,5.358522080218703e-13,1.2317974145664737e-12,8.040063807686332e-13,6.7373631e-13,9.174058e-13,8.45585348506132e-13
2023-05-06 01:16:42,7.403263479089672e-13,5.375125414386414e-13,1.2391845953823618e-12,8.068246879990222e-13,6.7606372e-13,9.209415e-13,8.477359918727528e-13
2023-05-06 01:16:57,7.414224800619906e-13,5.391126819281175e-13,1.2459315907380617e-12,8.08277574810862e-13,6.8135537e-13,9.27229e-13,8.497930770383079e-13
2023-05-06 01:17:12,7.426373857772311e-13,5.406525853470003e-13,1.2520054751085158e-12,8.095497907631193e-13,6.8579853e-13,9.3066e-13,8.519092284293712e-13
2023-05-06 01:17:27,7.439524716814294e-13,5.421338767031521e-13,1.257381581088865e-12,8.120119250932197e-13,6.981552e-13,9.367561e-13,8.540720244495427e-13
2023-05-06 01:17:42,7.45293929860336e-13,5.4355671140749e-13,1.2620371917749966e-12,8.152643608084831e-13,7.0262479e-13,9.401231e-13,8.562071500759655e-13
2023-05-06 01:17:57,7.467909320889863e-13,5.449229167625347e-13,1.2659584660725124e-12,8.183740277976873e-13,7.1055908e-13,9.460473e-13,8.584430277282223e-13
2023-05-06 01:18:12,7.484250969604052e-13,5.46232827237649e-13,1.2691339655211285e-12,8.208815487670218e-13,7.1383184e-13,9.493103e-13,8.607587079456834e-13
2023-05-06 01:18:27,7.503816745794049e-13,5.474884530439526e-13,1.2715615039530664e-12,8.231792666744264e-13,7.2128748e-13,9.550764e-13,8.63332356869628e-13
2023-05-06 01:18:42,7.525784697569715e-13,5.486903202968411e-13,1.2732415704728482e-12,8.261342695491332e-13,7.2370103e-13,9.582737e-13,8.660763397566606e-13
2023-05-06 01:18:57,7.549105433660486e-13,5.498406331105306e-13,1.2741840079661732e-12,8.299287950058484e-13,7.2627708e-13,9.638838e-13,8.688819552628661e-13
2023-05-06 01:19:12,7.573621920611323e-13,5.509400871471073e-13,1.2744012712567418e-12,8.338416395189305e-13,7.2788749e-13,9.670052e-13,8.717340560914753e-13
2023-05-06 01:19:27,7.59918499767967e-13,5.519910535503638e-13,1.2739149795906822e-12,8.375884173121869e-13,7.3105306e-13,9.724553e-13,8.746225570661862e-13
2023-05-06 01:19:42,7.626528082116807e-13,5.529943914729085e-13,1.2727490782659981e-12,8.415757197922036e-13,7.3309789e-13,9.754965e-13,8.776186452046368e-13
2023-05-06 01:19:57,7.656786247193662e-13,5.539526335020096e-13,1.27093621735406e-12,8.457772961498415e-13,7.3826898e-13,9.807661e-13,8.808278228549367e-13
2023-05-06 01:20:12,7.686392126785234e-13,5.54866783512566e-13,1.2685108119336154e-12,8.500603040180771e-13,7.408008e-13,9.837423e-13,8.838886948510071e-13
2023-05-06 01:20:27,7.715249773490627e-13,5.557395162831031e-13,1.2655152791589009e-12,8.542388745820156e-13,7.4109302e-13,9.888526e-13,8.867853332177619e-13
2023-05-06 01:20:42,7.746925535492784e-13,5.565719755173831e-13,1.2619930585437136e-12,8.583373223806065e-13,7.4047527e-13,9.917297e-13,8.898648467248834e-13
2023-05-06 01:20:57,7.780154577780116e-13,5.573669706861516e-13,1.2579946866466762e-12,8.626022038390207e-13,7.4041984e-13,9.966614e-13,8.930021443148659e-13
2023-05-06 01:21:12,7.814091465720811e-13,5.581257601999995e-13,1.2535707837162022e-12,8.666679794222276e-13,7.3961088e-13,9.994518e-13,8.961261012406705e-13
2023-05-06 01:21:27,7.847190163442502e-13,5.588512633559224e-13,1.2487780245898296e-12,8.702679817696435e-13,7.3591479e-13,1.00419e-12,8.990859839335169e-13
2023-05-06 01:21:42,7.877125491716789e-13,5.595448496862038e-13,1.2436721726613562e-12,8.732430963163161e-13,7.334982e-13,1.0068623e-12,9.016385342857725e-13
2023-05-06 01:21:57,7.907567940542612e-13,5.602095429575608e-13,1.2383139258860712e-12,8.754030632663097e-13,7.3604362e-13,1.0113605e-12,9.041360046705337e-13
2023-05-06 01:22:12,7.938696998649147e-13,5.608467931360848e-13,1.2327619898557617e-12,8.771908321033663e-13,7.3772463e-13,1.0139154e-12,9.065871277187501e-13
